fol., re, fav, sentiment, text, time
542, 203, 0, neutral, RT @Bitcoin_Key: BITCOIN KEY  40;000;000 MILLION TOKEN AIRDROP ; 20;000 BTCK EACH    FOLLOW RETWEET COMMENT  To recieve instantly send 0 (z…, 2018-06-09 21:42:10
99, 133, 0, positive, RT @aantonop: Many people will be lured into this space through cliches like "blockchain not Bitcoin." Others will be drawn by the price. B…, 2018-06-09 21:42:09
72, 5, 0, positive, RT @nulltxnews: Bitcoin Is Not a Security: SEC Chair Sets the Record Straight https://t.co/3s7SF2vSsY, 2018-06-09 21:42:07
1187, 64, 0, neutral, RT @howdooHQ: HOWDOO VIDEO FOCUS DAY: Video 4: CryptoRich talks about making money and earning money with Howdoo. https://t.co/0xDlC8pVnq #…, 2018-06-09 21:42:05
688, 3, 0, neutral, RT @EthereumKing: BIG THINGS COMING TO SINGAPORE  https://t.co/2xbBX2rNcH  #Singapore #SingaporeSummit #bitcoin #bitcoinnews #altcoinnews #…, 2018-06-09 21:42:03
688, 11, 0, positive, RT @PassiveIncoming: Want a #FREE Hedgie?    🧐👉🏻https://t.co/maW7b95Tdo  Was $5; Now #10; Soon $20!  #blockchain #gamer #fortnite #esports…, 2018-06-09 21:42:00
762, 2691, 0, positive, RT @SuretyToken: The surety airdrop is here receive up to $400 in surety tokens.  Sign up and complete the airdrop procedure to receive you…, 2018-06-09 21:41:58
192, 0, 0, positive, Austraia will recognize Bitcoin as a legal tender - Safe binary options platform I FOREX; currencies online I eXbin… https://t.co/iy1q4xSqaU, 2018-06-09 21:41:57
670, 300, 0, neutral, RT @howdooHQ: HOWDOO VIDEO FOCUS DAY: Video 2: CryptoZombie interviews Howdoo Founder David Brierley https://t.co/3NcZnLayEt #tokensale #pr…, 2018-06-09 21:41:56
932, 0, 0, neutral, Over 1 Million People in Line for Bitcoin Trading App https://t.co/b185Y2J3b6, 2018-06-09 21:41:56
932, 0, 0, neutral, Interview: Bitcoin Transactions and American Taxation https://t.co/hjUT7qr21z, 2018-06-09 21:41:56
15811, 0, 0, neutral, Over 1 Million People in Line for Bitcoin Trading App https://t.co/gKUJRztWLk, 2018-06-09 21:41:55
15811, 0, 0, neutral, Interview: Bitcoin Transactions and American Taxation https://t.co/N5xEtSWWac, 2018-06-09 21:41:55
25116, 0, 0, neutral, Over 1 Million People in Line for Bitcoin Trading App https://t.co/Oo53MNW9Lq, 2018-06-09 21:41:54
25116, 0, 0, neutral, Interview: Bitcoin Transactions and American Taxation https://t.co/7Cl72BM7dl, 2018-06-09 21:41:54
1127, 0, 0, positive, @IOHK_Charles So would any of these qualify as your favorite ethnic food?, 2018-06-09 21:41:54
170, 938, 0, positive, RT @KryptykHex: #Bitcoin is by far the most energy efficient monetary system we've ever designed. https://t.co/XRg0pwF96h, 2018-06-09 21:41:53
688, 6, 0, positive, RT @cryptofaucet: #MoneyToken getting ready to takeover! @MoneyToken   https://t.co/Aqe3VS7W7C  #ICO #fintech #crypto #bitcoin #cryptotwitt…, 2018-06-09 21:41:53
